克拉斯沃特（三分熟） | 游击队----'Medium Rare' Crasswater | Guerrilla Warfare----95.9----526----526
格洛克 18 型 | 红苹果 (略有磨损)----Glock-18 | Candy Apple (Minimal Wear)----1.96----1000----1000
格洛克 18 型 | 一目了然 (略有磨损)----Glock-18 | Clear Polymer (Minimal Wear)----1.68----788----788
格洛克 18 型 | 伽玛多普勒 (崭新出厂)----Glock-18 | Gamma Doppler (Factory New)----413.0----919----919
格洛克 18 型 | 伽玛多普勒 (略有磨损)----Glock-18 | Gamma Doppler (Minimal Wear)----338.0----503----503
格洛克 18 型 | 粉碎者 (崭新出厂)----Glock-18 | Grinder (Factory New)----12.2----707----707
格洛克 18 型 | 粉碎者 (略有磨损)----Glock-18 | Grinder (Minimal Wear)----7.89----590----590
格洛克 18 型 | 城里的月光 (崭新出厂)----Glock-18 | Moonrise (Factory New)----8.76----1000----1000
格洛克 18 型 | 城里的月光 (久经沙场)----Glock-18 | Moonrise (Field-Tested)----2.19----1000----1000
格洛克 18 型 | 城里的月光 (略有磨损)----Glock-18 | Moonrise (Minimal Wear)----4.23----1000----1000
格洛克 18 型 | 黑色魅影 (久经沙场)----Glock-18 | Neo-Noir (Field-Tested)----60.99----710----710
格洛克 18 型 | 核子花园 (崭新出厂)----Glock-18 | Nuclear Garden (Factory New)----32.6----1000----1000
格洛克 18 型 | 核子花园 (久经沙场)----Glock-18 | Nuclear Garden (Field-Tested)----6.99----1000----1000
格洛克 18 型 | 核子花园 (略有磨损)----Glock-18 | Nuclear Garden (Minimal Wear)----14.73----1000----1000
格洛克 18 型 | 烈焰天使 (略有磨损)----Glock-18 | Sacrifice (Minimal Wear)----1.21----597----597
格洛克 18 型 | 圆影玉兔 (崭新出厂)----Glock-18 | Umbral Rabbit (Factory New)----9.4----1000----1000
格洛克 18 型 | 圆影玉兔 (久经沙场)----Glock-18 | Umbral Rabbit (Field-Tested)----2.0----1000----1000
格洛克 18 型 | 圆影玉兔 (略有磨损)----Glock-18 | Umbral Rabbit (Minimal Wear)----4.3----1000----1000
格洛克 18 型 | 摩登时代 (久经沙场)----Glock-18 | Vogue (Field-Tested)----16.96----1000----1000
格洛克 18 型 | 摩登时代 (略有磨损)----Glock-18 | Vogue (Minimal Wear)----29.0----659----659
格洛克 18 型 | 水灵 (崭新出厂)----Glock-18 | Water Elemental (Factory New)----70.05----734----734
格洛克 18 型 | 水灵 (久经沙场)----Glock-18 | Water Elemental (Field-Tested)----22.48----1000----1000
格洛克 18 型 | 水灵 (略有磨损)----Glock-18 | Water Elemental (Minimal Wear)----38.01----1000----1000
格洛克 18 型 | 鼬鼠 (久经沙场)----Glock-18 | Weasel (Field-Tested)----1.97----759----759
格洛克 18 型 | 鼬鼠 (略有磨损)----Glock-18 | Weasel (Minimal Wear)----3.94----704----704
手套武器箱----Glove Case----40.74----1122----0
海军上尉里克索尔 | 海军水面战中心海豹部队----Lt. Commander Ricksaw | NSWC SEAL----63.18----1000----1000
M249 | 闹市区 (崭新出厂)----M249 | Downtown (Factory New)----9.26----518----518
M249 | 闹市区 (久经沙场)----M249 | Downtown (Field-Tested)----2.59----1000----1000
M249 | 闹市区 (略有磨损)----M249 | Downtown (Minimal Wear)----4.95----697----697
M4A1 消音型 | 翼蜥 (久经沙场)----M4A1-S | Basilisk (Field-Tested)----29.87----671----671
M4A1 消音型 | 翼蜥 (略有磨损)----M4A1-S | Basilisk (Minimal Wear)----37.0----825----825
M4A1 消音型 | 澜磷 (崭新出厂)----M4A1-S | Blue Phosphor (Factory New)----4138.0----629----629
M4A1 消音型 | 澄澈之水 (略有磨损)----M4A1-S | Bright Water (Minimal Wear)----166.99----631----631
M4A1 消音型 | 女火神之炽焰 (久经沙场)----M4A1-S | Chantico's Fire (Field-Tested)----166.5----774----774
M4A1 消音型 | 控制台 (久经沙场)----M4A1-S | Control Panel (Field-Tested)----34.12----684----684
M4A1 消音型 | 控制台 (略有磨损)----M4A1-S | Control Panel (Minimal Wear)----68.3----533----533
M4A1 消音型 | 次时代 (崭新出厂)----M4A1-S | Cyrex (Factory New)----255.42----661----661
M4A1 消音型 | 次时代 (久经沙场)----M4A1-S | Cyrex (Field-Tested)----103.15----730----730
M4A1 消音型 | 次时代 (略有磨损)----M4A1-S | Cyrex (Minimal Wear)----158.88----726----726
M4A1 消音型 | 毁灭者 2000 (久经沙场)----M4A1-S | Decimator (Field-Tested)----64.67----1000----1000
M4A1 消音型 | 毁灭者 2000 (略有磨损)----M4A1-S | Decimator (Minimal Wear)----113.99----1000----1000
M4A1 消音型 | 隐伏帝王龙 (战痕累累)----M4A1-S | Emphorosaur-S (Battle-Scarred)----2.06----1000----1000
M4A1 消音型 | 隐伏帝王龙 (崭新出厂)----M4A1-S | Emphorosaur-S (Factory New)----15.0----1000----1000
M4A1 消音型 | 隐伏帝王龙 (久经沙场)----M4A1-S | Emphorosaur-S (Field-Tested)----2.39----1000----1000
M4A1 消音型 | 隐伏帝王龙 (略有磨损)----M4A1-S | Emphorosaur-S (Minimal Wear)----5.79----1000----1000
M4A1 消音型 | 气泡流行 (崭新出厂)----M4A1-S | Fizzy POP (Factory New)----13.99----1000----1000
M4A1 消音型 | 气泡流行 (久经沙场)----M4A1-S | Fizzy POP (Field-Tested)----6.91----856----856
M4A1 消音型 | 气泡流行 (略有磨损)----M4A1-S | Fizzy POP (Minimal Wear)----8.57----787----787
M4A1 消音型 | 闪回 (久经沙场)----M4A1-S | Flashback (Field-Tested)----2.07----1000----1000
M4A1 消音型 | 闪回 (略有磨损)----M4A1-S | Flashback (Minimal Wear)----4.27----712----712
M4A1 消音型 | 守护者 (崭新出厂)----M4A1-S | Guardian (Factory New)----169.25----844----844
M4A1 消音型 | 守护者 (略有磨损)----M4A1-S | Guardian (Minimal Wear)----127.78----719----719
M4A1 消音型 | 暴怒野兽 (久经沙场)----M4A1-S | Hyper Beast (Field-Tested)----124.99----793----793
M4A1 消音型 | 伊卡洛斯殒落 (崭新出厂)----M4A1-S | Icarus Fell (Factory New)----3300.0----801----801
M4A1 消音型 | 破碎铅秋 (崭新出厂)----M4A1-S | Leaded Glass (Factory New)----65.98----555----555
M4A1 消音型 | 破碎铅秋 (久经沙场)----M4A1-S | Leaded Glass (Field-Tested)----25.0----1000----1000
M4A1 消音型 | 破碎铅秋 (略有磨损)----M4A1-S | Leaded Glass (Minimal Wear)----35.9----1000----1000
M4A1 消音型 | 机械工业 (久经沙场)----M4A1-S | Mecha Industries (Field-Tested)----169.99----1000----1000
M4A1 消音型 | 机械工业 (略有磨损)----M4A1-S | Mecha Industries (Minimal Wear)----330.0----822----822
M4A1 消音型 | 泥斑迷彩 (战痕累累)----M4A1-S | Mud-Spec (Battle-Scarred)----2.85----1000----1000
M4A1 消音型 | 泥斑迷彩 (崭新出厂)----M4A1-S | Mud-Spec (Factory New)----5.8----602----602
M4A1 消音型 | 泥斑迷彩 (久经沙场)----M4A1-S | Mud-Spec (Field-Tested)----1.45----1000----1000
M4A1 消音型 | 泥斑迷彩 (略有磨损)----M4A1-S | Mud-Spec (Minimal Wear)----2.06----951----951
M4A1 消音型 | 夜无眠 (战痕累累)----M4A1-S | Night Terror (Battle-Scarred)----7.79----1000----1000
M4A1 消音型 | 夜无眠 (崭新出厂)----M4A1-S | Night Terror (Factory New)----7.39----1000----1000
M4A1 消音型 | 夜无眠 (久经沙场)----M4A1-S | Night Terror (Field-Tested)----1.99----1000----1000
M4A1 消音型 | 夜无眠 (略有磨损)----M4A1-S | Night Terror (Minimal Wear)----3.5----1000----1000
M4A1 消音型 | 梦魇 (久经沙场)----M4A1-S | Nightmare (Field-Tested)----54.5----1000----1000
M4A1 消音型 | 梦魇 (略有磨损)----M4A1-S | Nightmare (Minimal Wear)----114.12----1000----1000
M4A1 消音型 | 氮化处理 (战痕累累)----M4A1-S | Nitro (Battle-Scarred)----1.63----531----531
M4A1 消音型 | 氮化处理 (崭新出厂)----M4A1-S | Nitro (Factory New)----26.88----1000----1000
M4A1 消音型 | 氮化处理 (久经沙场)----M4A1-S | Nitro (Field-Tested)----2.28----1000----1000
M4A1 消音型 | 氮化处理 (略有磨损)----M4A1-S | Nitro (Minimal Wear)----8.17----1000----1000
M4A1 消音型 | 氮化处理 (破损不堪)----M4A1-S | Nitro (Well-Worn)----2.67----532----532
M4A1 消音型 | 二号玩家 (久经沙场)----M4A1-S | Player Two (Field-Tested)----139.0----1000----1000
M4A1 消音型 | 二号玩家 (略有磨损)----M4A1-S | Player Two (Minimal Wear)----339.0----856----856
M4A1 消音型 | 多变迷彩 (崭新出厂)----M4A1-S | VariCamo (Factory New)----6.84----919----919
M4A1 消音型 | 多变迷彩 (久经沙场)----M4A1-S | VariCamo (Field-Tested)----3.63----1000----1000
M4A1 消音型 | 多变迷彩 (略有磨损)----M4A1-S | VariCamo (Minimal Wear)----5.88----648----648
M4A4 | 二西莫夫 (久经沙场)----M4A4 | Asiimov (Field-Tested)----915.9----1000----1000
M4A4 | 喧嚣杀戮 (崭新出厂)----M4A4 | Buzz Kill (Factory New)----176.0----898----898
M4A4 | 喧嚣杀戮 (久经沙场)----M4A4 | Buzz Kill (Field-Tested)----46.0----1000----1000
M4A4 | 喧嚣杀戮 (略有磨损)----M4A4 | Buzz Kill (Minimal Wear)----72.0----1000----1000
M4A4 | 变频器 (崭新出厂)----M4A4 | Converter (Factory New)----3.8----1000----1000
M4A4 | 变频器 (久经沙场)----M4A4 | Converter (Field-Tested)----2.27----807----807
M4A4 | 变频器 (略有磨损)----M4A4 | Converter (Minimal Wear)----2.87----1000----1000
M4A4 | 死寂空间 (久经沙场)----M4A4 | Desolate Space (Field-Tested)----31.98----1000----1000
M4A4 | 死寂空间 (略有磨损)----M4A4 | Desolate Space (Minimal Wear)----51.9----1000----1000
M4A4 | 杀意大名 (崭新出厂)----M4A4 | Evil Daimyo (Factory New)----28.96----1000----1000
M4A4 | 杀意大名 (久经沙场)----M4A4 | Evil Daimyo (Field-Tested)----9.89----1000----1000
M4A4 | 杀意大名 (略有磨损)----M4A4 | Evil Daimyo (Minimal Wear)----14.65----1000----1000
M4A4 | 狮鹫 (久经沙场)----M4A4 | Griffin (Field-Tested)----9.76----526----526
M4A4 | 狮鹫 (略有磨损)----M4A4 | Griffin (Minimal Wear)----13.14----604----604
M4A4 | 活色生香 (崭新出厂)----M4A4 | In Living Color (Factory New)----175.0----651----651
M4A4 | 活色生香 (久经沙场)----M4A4 | In Living Color (Field-Tested)----30.36----1000----1000
M4A4 | 活色生香 (略有磨损)----M4A4 | In Living Color (Minimal Wear)----62.77----1000----1000
M4A4 | 镁元素 (崭新出厂)----M4A4 | Magnesium (Factory New)----13.89----774----774
M4A4 | 镁元素 (久经沙场)----M4A4 | Magnesium (Field-Tested)----1.1----1000----1000
M4A4 | 镁元素 (略有磨损)----M4A4 | Magnesium (Minimal Wear)----3.26----1000----1000
M4A4 | 黑色魅影 (崭新出厂)----M4A4 | Neo-Noir (Factory New)----186.0----1000----1000
M4A4 | 黑色魅影 (久经沙场)----M4A4 | Neo-Noir (Field-Tested)----35.9----1000----1000
M4A4 | 黑色魅影 (略有磨损)----M4A4 | Neo-Noir (Minimal Wear)----71.6----1000----1000
M4A4 | 透明弹匣 (崭新出厂)----M4A4 | Poly Mag (Factory New)----1.95----811----811
M4A4 | 皇家圣骑士 (久经沙场)----M4A4 | Royal Paladin (Field-Tested)----29.8----818----818
M4A4 | 皇家圣骑士 (略有磨损)----M4A4 | Royal Paladin (Minimal Wear)----103.88----798----798
M4A4 | 彼岸花 (久经沙场)----M4A4 | Spider Lily (Field-Tested)----19.55----673----673
M4A4 | 彼岸花 (略有磨损)----M4A4 | Spider Lily (Minimal Wear)----36.7----670----670
M4A4 | 反冲精英 (崭新出厂)----M4A4 | Temukau (Factory New)----690.0----885----885
M4A4 | 反冲精英 (久经沙场)----M4A4 | Temukau (Field-Tested)----80.0----1000----1000
M4A4 | 反冲精英 (略有磨损)----M4A4 | Temukau (Minimal Wear)----284.86----1000----1000
M4A4 | 合纵 (久经沙场)----M4A4 | The Coalition (Field-Tested)----152.7----656----656
M4A4 | 合纵 (略有磨损)----M4A4 | The Coalition (Minimal Wear)----400.0----546----546
M4A4 | 皇帝 (久经沙场)----M4A4 | The Emperor (Field-Tested)----72.7----1000----1000
M4A4 | 皇帝 (略有磨损)----M4A4 | The Emperor (Minimal Wear)----230.0----1000----1000
M4A4 | 齿仙 (久经沙场)----M4A4 | Tooth Fairy (Field-Tested)----16.9----1000----1000
M4A4 | 齿仙 (略有磨损)----M4A4 | Tooth Fairy (Minimal Wear)----27.5----622----622
M4A4 | 都市 DDPAT (略有磨损)----M4A4 | Urban DDPAT (Minimal Wear)----1.2----1000----1000
M4A4 | X 射线 (崭新出厂)----M4A4 | X-Ray (Factory New)----105.5----1000----1000
M4A4 | 龙王 (崭新出厂)----M4A4 | 龍王 (Dragon King) (Factory New)----151.88----566----566
M4A4 | 龙王 (久经沙场)----M4A4 | 龍王 (Dragon King) (Field-Tested)----37.86----1000----1000
M4A4 | 龙王 (略有磨损)----M4A4 | 龍王 (Dragon King) (Minimal Wear)----74.0----985----985
MAC-10 | 魅惑 (久经沙场)----MAC-10 | Allure (Field-Tested)----2.14----1000----1000
MAC-10 | 魅惑 (略有磨损)----MAC-10 | Allure (Minimal Wear)----4.0----544----544
MAC-10 | 战争手柄 (久经沙场)----MAC-10 | Button Masher (Field-Tested)----1.58----552----552
MAC-10 | 渐变迪斯科 (崭新出厂)----MAC-10 | Disco Tech (Factory New)----76.98----504----504
MAC-10 | 渐变迪斯科 (久经沙场)----MAC-10 | Disco Tech (Field-Tested)----14.48----1000----1000
MAC-10 | 渐变迪斯科 (略有磨损)----MAC-10 | Disco Tech (Minimal Wear)----31.8----1000----1000
MAC-10 | 鸣沙 (久经沙场)----MAC-10 | Echoing Sands (Field-Tested)----1.39----959----959
MAC-10 | 坐牢 (崭新出厂)----MAC-10 | Ensnared (Factory New)----1.39----704----704
MAC-10 | 渐变之色 (崭新出厂)----MAC-10 | Fade (Factory New)----212.0----597----597
MAC-10 | 霓虹骑士 (略有磨损)----MAC-10 | Neon Rider (Minimal Wear)----42.38----637----637
MAC-10 | 海洋 (崭新出厂)----MAC-10 | Oceanic (Factory New)----1.2----549----549
MAC-10 | 错觉 (战痕累累)----MAC-10 | Sakkaku (Battle-Scarred)----1.41----1000----1000
MAC-10 | 错觉 (久经沙场)----MAC-10 | Sakkaku (Field-Tested)----6.02----1000----1000
MAC-10 | 错觉 (破损不堪)----MAC-10 | Sakkaku (Well-Worn)----2.24----1000----1000
MAG-7 | 铋晶体 (崭新出厂)----MAG-7 | BI83 Spectrum (Factory New)----12.58----638----638
MAG-7 | 铋晶体 (久经沙场)----MAG-7 | BI83 Spectrum (Field-Tested)----3.71----805----805
MAG-7 | 铋晶体 (略有磨损)----MAG-7 | BI83 Spectrum (Minimal Wear)----6.48----562----562
MAG-7 | 北冥有鱼 (久经沙场)----MAG-7 | Monster Call (Field-Tested)----2.15----1000----1000
MAG-7 | 北冥有鱼 (略有磨损)----MAG-7 | Monster Call (Minimal Wear)----4.0----1000----1000
MAG-7 | SWAG-7 (久经沙场)----MAG-7 | SWAG-7 (Field-Tested)----1.66----728----728
MP5-SD | 猛烈冲锋 (久经沙场)----MP5-SD | Kitbash (Field-Tested)----2.1----903----903
MP5-SD | 猛烈冲锋 (略有磨损)----MP5-SD | Kitbash (Minimal Wear)----4.07----562----562
MP5-SD | 液化 (崭新出厂)----MP5-SD | Liquidation (Factory New)----1.48----568----568
MP5-SD | 小小噩梦 (崭新出厂)----MP5-SD | Necro Jr. (Factory New)----1.15----564----564
MP7 | 幽幻深渊 (久经沙场)----MP7 | Abyssal Apparition (Field-Tested)----7.22----749----749
MP7 | 深蓝电镀处理 (崭新出厂)----MP7 | Anodized Navy (Factory New)----2.84----1000----1000
MP7 | 血腥运动 (崭新出厂)----MP7 | Bloodsport (Factory New)----21.5----628----628
MP7 | 血腥运动 (久经沙场)----MP7 | Bloodsport (Field-Tested)----7.65----1000----1000
MP7 | 血腥运动 (略有磨损)----MP7 | Bloodsport (Minimal Wear)----12.0----1000----1000
MP7 | 卷云 (崭新出厂)----MP7 | Cirrus (Factory New)----3.11----527----527
MP7 | 卷云 (略有磨损)----MP7 | Cirrus (Minimal Wear)----1.09----761----761
MP7 | 渐变之色 (崭新出厂)----MP7 | Fade (Factory New)----35.13----1000----1000
MP7 | 渐变之色 (略有磨损)----MP7 | Fade (Minimal Wear)----23.0----695----695
MP9 | 生化泄漏 (崭新出厂)----MP9 | Bioleak (Factory New)----1.65----676----676
MP9 | 爆裂食物链 (久经沙场)----MP9 | Food Chain (Field-Tested)----12.0----1000----1000
MP9 | 爆裂食物链 (略有磨损)----MP9 | Food Chain (Minimal Wear)----22.75----502----502
MP9 | 富士山 (崭新出厂)----MP9 | Mount Fuji (Factory New)----62.36----841----841
MP9 | 富士山 (略有磨损)----MP9 | Mount Fuji (Minimal Wear)----41.09----643----643
MP9 | 星使 (崭新出厂)----MP9 | Starlight Protector (Factory New)----95.0----654----654
MP9 | 星使 (久经沙场)----MP9 | Starlight Protector (Field-Tested)----17.99----1000----1000
MP9 | 星使 (略有磨损)----MP9 | Starlight Protector (Minimal Wear)----39.99----1000----1000
音乐盒 | 3kliksphilip - 追溯起源----Music Kit | 3kliksphilip, Heading for the Source----4.0----1000----1000
音乐盒 | AWOLNATION - 就是我----Music Kit | AWOLNATION, I Am----21.0----902----902
音乐盒 | Denzel Curry - 终极----Music Kit | Denzel Curry, ULTIMATE----14.5----889----889
音乐盒 | Humanity's Last Breath - 虚空----Music Kit | Humanity's Last Breath, Void----2.43----1000----1000
音乐盒 | Juelz - 神枪手----Music Kit | Juelz, Shooters----4.3----1000----1000
音乐盒 | Knock2 - 冲击星*----Music Kit | Knock2, dashstar*----57.0----1000----1000
音乐盒 | Meechy Darko - 哥特浮华----Music Kit | Meechy Darko, Gothic Luxury----5.5----723----723
音乐盒 | Mord Fustang - 永恒之钻----Music Kit | Mord Fustang, Diamonds----12.5----560----560
音乐盒 | Neck Deep - 躺平青年----Music Kit | Neck Deep, The Lowlife Pack----19.99----963----963
音乐盒 | 完美世界 - 花脸----Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)----22.88----1000----1000
音乐盒 | Sullivan King - 困兽----Music Kit | Sullivan King, Lock Me Up----3.75----1000----1000
音乐盒 | The Verkkars & n0thing - 闪光舞----Music Kit | The Verkkars & n0thing, Flashbang Dance----19.88----1000----1000
音乐盒 | The Verkkars - EZ4ENCE----Music Kit | The Verkkars, EZ4ENCE----23.0----1000----1000
音乐盒 | bbno$ - 你急了！----Music Kit | bbno$, u mad!----17.42----630----630
名称标签----Name Tag----9.96----1000----1000
内格夫 | 狮子鱼 (久经沙场)----Negev | Lionfish (Field-Tested)----1.8----588----588
内格夫 | 飞羽 (崭新出厂)----Negev | Ultralight (Factory New)----1.09----709----709
内格夫 | 橙灰之名 (久经沙场)----Negev | dev_texture (Field-Tested)----1.6----998----998
新星 | 狂野六号 (久经沙场)----Nova | Wild Six (Field-Tested)----1.69----755----755
新星 | 随风 (崭新出厂)----Nova | Windblown (Factory New)----2.41----536----536
老K | 专业人士----Number K | The Professionals----279.0----1000----1000
“突围大行动”武器箱----Operation Breakout Weapon Case----41.0----596----0
“狂牙大行动”武器箱----Operation Broken Fang Case----27.96----1225----0
“野火大行动”武器箱----Operation Wildfire Case----13.5----549----0
P2000 | 酸蚀 (久经沙场)----P2000 | Acid Etched (Field-Tested)----2.23----785----785
P2000 | 酸蚀 (略有磨损)----P2000 | Acid Etched (Minimal Wear)----4.4----515----515
P2000 | 渐变琥珀 (崭新出厂)----P2000 | Amber Fade (Factory New)----56.38----1000----1000
P2000 | 渐变琥珀 (久经沙场)----P2000 | Amber Fade (Field-Tested)----17.23----961----961
P2000 | 渐变琥珀 (略有磨损)----P2000 | Amber Fade (Minimal Wear)----27.17----1000----1000
P2000 | 至高帝皇 (崭新出厂)----P2000 | Imperial (Factory New)----2.63----592----592
P2000 | 变态杀戮 (久经沙场)----P2000 | Wicked Sick (Field-Tested)----11.54----647----647
P250 | 二西莫夫 (久经沙场)----P250 | Asiimov (Field-Tested)----17.3----1000----1000
P250 | 卡带 (崭新出厂)----P250 | Cassette (Factory New)----1.13----1000----1000
P250 | 赛博先锋 (久经沙场)----P250 | Cyber Shell (Field-Tested)----1.55----657----657
P250 | 天旱 (崭新出厂)----P250 | Drought (Factory New)----4.08----650----650
P250 | 富兰克林 (崭新出厂)----P250 | Franklin (Factory New)----7.82----1000----1000
P250 | 富兰克林 (久经沙场)----P250 | Franklin (Field-Tested)----3.3----836----836
P250 | 富兰克林 (略有磨损)----P250 | Franklin (Minimal Wear)----4.8----754----754
P250 | 影魔 (崭新出厂)----P250 | Nevermore (Factory New)----8.74----960----960
P250 | 影魔 (略有磨损)----P250 | Nevermore (Minimal Wear)----4.95----846----846
P250 | 生化短吻鳄 (久经沙场)----P250 | See Ya Later (Field-Tested)----13.5----1000----1000
P250 | 生化短吻鳄 (略有磨损)----P250 | See Ya Later (Minimal Wear)----25.57----928----928
P250 | 超新星 (崭新出厂)----P250 | Supernova (Factory New)----7.87----689----689
P250 | 超新星 (略有磨损)----P250 | Supernova (Minimal Wear)----5.32----607----607
P250 | 元素轮廓 (略有磨损)----P250 | Valence (Minimal Wear)----1.09----522----522
P250 | 铜绿 (战痕累累)----P250 | Verdigris (Battle-Scarred)----1.4----507----507
P250 | 迷人幻象 (久经沙场)----P250 | Visions (Field-Tested)----17.49----785----785
P250 | X 射线 (崭新出厂)----P250 | X-Ray (Factory New)----3.07----1000----1000
P250 | X 射线 (略有磨损)----P250 | X-Ray (Minimal Wear)----1.69----906----906
P90 | 二西莫夫 (久经沙场)----P90 | Asiimov (Field-Tested)----44.0----1000----1000
P90 | 二西莫夫 (略有磨损)----P90 | Asiimov (Minimal Wear)----90.0----814----814
P90 | 夺命器 (久经沙场)----P90 | Chopper (Field-Tested)----2.99----503----503
P90 | 大怪兽 RUSH (崭新出厂)----P90 | Cocoa Rampage (Factory New)----5.75----540----540
P90 | 精英之作 (略有磨损)----P90 | Elite Build (Minimal Wear)----1.75----544----544
P90 | 设施系列·底片图 (崭新出厂)----P90 | Facility Negative (Factory New)----2.81----511----511
P90 | 冷血无情 (崭新出厂)----P90 | Grim (Factory New)----2.96----532----532
P90 | 元女王 (战痕累累)----P90 | Neoqueen (Battle-Scarred)----2.24----1000----1000
P90 | 元女王 (崭新出厂)----P90 | Neoqueen (Factory New)----8.22----838----838
P90 | 元女王 (久经沙场)----P90 | Neoqueen (Field-Tested)----1.88----1000----1000
P90 | 元女王 (略有磨损)----P90 | Neoqueen (Minimal Wear)----3.99----974----974
P90 | 摧枯拉朽 (崭新出厂)----P90 | Teardown (Factory New)----2.83----584----584
P90 | 摧枯拉朽 (略有磨损)----P90 | Teardown (Minimal Wear)----1.78----588----588
P90 | 给爷冲 (久经沙场)----P90 | Vent Rush (Field-Tested)----2.58----1000----1000
P90 | 给爷冲 (略有磨损)----P90 | Vent Rush (Minimal Wear)----4.86----707----707
PP-野牛 | 黄铜 (崭新出厂)----PP-Bizon | Brass (Factory New)----10.47----713----713
PP-野牛 | 黄铜 (久经沙场)----PP-Bizon | Brass (Field-Tested)----3.14----916----916
PP-野牛 | 黄铜 (略有磨损)----PP-Bizon | Brass (Minimal Wear)----5.99----621----621
PP-野牛 | 阿努比斯之审判 (崭新出厂)----PP-Bizon | Judgement of Anubis (Factory New)----50.57----507----507
PP-野牛 | 阿努比斯之审判 (久经沙场)----PP-Bizon | Judgement of Anubis (Field-Tested)----26.2----816----816
PP-野牛 | 阿努比斯之审判 (略有磨损)----PP-Bizon | Judgement of Anubis (Minimal Wear)----35.3----726----726
PP-野牛 | 太空猫 (崭新出厂)----PP-Bizon | Space Cat (Factory New)----6.32----848----848
PP-野牛 | 太空猫 (久经沙场)----PP-Bizon | Space Cat (Field-Tested)----1.43----1000----1000
PP-野牛 | 太空猫 (略有磨损)----PP-Bizon | Space Cat (Minimal Wear)----3.06----1000----1000
2023年巴黎锦标赛远古遗迹纪念包----Paris 2023 Ancient Souvenir Package----14.58----1338----0
2023年巴黎锦标赛阿努比斯纪念包----Paris 2023 Anubis Souvenir Package----8.98----1920----0
2023年巴黎锦标赛炼狱小镇纪念包----Paris 2023 Inferno Souvenir Package----10.34----1037----0
2023年巴黎锦标赛荒漠迷城纪念包----Paris 2023 Mirage Souvenir Package----12.65----4745----0
2023年巴黎锦标赛殒命大厦纪念包----Paris 2023 Vertigo Souvenir Package----10.28----2046----0
海报女郎胶囊----Pinups Capsule----4.87----953----0
棱彩2号武器箱----Prisma 2 Case----4.2----1159----0
棱彩武器箱----Prisma Case----3.57----1255----0
R8 左轮手枪 | 渐变琥珀 (崭新出厂)----R8 Revolver | Amber Fade (Factory New)----5.06----1000----1000
R8 左轮手枪 | 渐变琥珀 (略有磨损)----R8 Revolver | Amber Fade (Minimal Wear)----3.4----687----687
R8 左轮手枪 | 蕉农炮 (战痕累累)----R8 Revolver | Banana Cannon (Battle-Scarred)----1.55----628----628
R8 左轮手枪 | 蕉农炮 (久经沙场)----R8 Revolver | Banana Cannon (Field-Tested)----1.89----926----926
R8 左轮手枪 | 蕉农炮 (略有磨损)----R8 Revolver | Banana Cannon (Minimal Wear)----3.8----587----587
R8 左轮手枪 | 炽烈之炎 (崭新出厂)----R8 Revolver | Blaze (Factory New)----10.16----1000----1000
R8 左轮手枪 | 疯狂老八 (久经沙场)----R8 Revolver | Crazy 8 (Field-Tested)----2.68----1000----1000
R8 左轮手枪 | 疯狂老八 (略有磨损)----R8 Revolver | Crazy 8 (Minimal Wear)----4.9----892----892
R8 左轮手枪 | 深红之网 (略有磨损)----R8 Revolver | Crimson Web (Minimal Wear)----2.27----983----983
R8 左轮手枪 | 沙漠伪装 (崭新出厂)----R8 Revolver | Desert Brush (Factory New)----5.11----508----508
R8 左轮手枪 | 渐变之色 (略有磨损)----R8 Revolver | Fade (Minimal Wear)----50.0----523----523
变革武器箱----Revolution Case----1.57----12350----0
准备就绪的列赞 | 军刀----Rezan The Ready | Sabre----26.55----570----570
2022年里约热内卢锦标赛竞争组亲笔签名胶囊----Rio 2022 Contenders Autograph Capsule----1.5----520----0
2022年里约热内卢锦标赛炙热沙城 II 纪念包----Rio 2022 Dust II Souvenir Package----14.94----2422----0
2022年里约热内卢锦标赛传奇组亲笔签名胶囊----Rio 2022 Legends Autograph Capsule----1.89----1198----0
SCAR-20 | 执行者 (久经沙场)----SCAR-20 | Enforcer (Field-Tested)----2.26----610----610
SCAR-20 | 碎片 (崭新出厂)----SCAR-20 | Fragments (Factory New)----1.16----591----591
SCAR-20 | 暗夜活死鸡 (崭新出厂)----SCAR-20 | Poultrygeist (Factory New)----1.1----1000----1000
SG 553 | 阿罗哈 (崭新出厂)----SG 553 | Aloha (Factory New)----1.14----1000----1000
SG 553 | 深蓝电镀处理 (崭新出厂)----SG 553 | Anodized Navy (Factory New)----2.78----1000----1000
SG 553 | 大马士革钢 (久经沙场)----SG 553 | Damascus Steel (Field-Tested)----3.12----686----686
SG 553 | 黯翼 (久经沙场)----SG 553 | Darkwing (Field-Tested)----2.21----627----627
SG 553 | 黯翼 (略有磨损)----SG 553 | Darkwing (Minimal Wear)----4.18----538----538
SG 553 | 青龙 (崭新出厂)----SG 553 | Dragon Tech (Factory New)----9.75----915----915
SG 553 | 青龙 (久经沙场)----SG 553 | Dragon Tech (Field-Tested)----2.62----1000----1000
SG 553 | 青龙 (略有磨损)----SG 553 | Dragon Tech (Minimal Wear)----4.96----1000----1000
SG 553 | 意式拉力 (崭新出厂)----SG 553 | Integrale (Factory New)----506.8----722----722
